iter	RMSE
0	13.32767074
1	12.45106676
2	11.63795115
3	10.78043555
4	10.01035918
5	9.535957089
6	8.922589098
7	8.392325204
8	7.884507485
9	7.464474716
10	7.105816224
11	6.76130914
12	6.447004603
13	6.152076757
14	5.897369453
15	5.699999996
16	5.494634285
17	5.321604337
18	5.15897098
19	5.012878979
20	4.890131156
21	4.774079888
22	4.673480711
23	4.595338179
24	4.513376595
25	4.45253763
26	4.392035257
27	4.351213437
28	4.306744363
29	4.254075231
30	4.21139646
31	4.17363675
32	4.134435429
33	4.093345478
34	4.069304311
35	4.041713675
36	4.018136789
37	3.993073122
38	3.973134998
39	3.95038213
40	3.927467409
41	3.906374294
42	3.886477341
43	3.874127954
44	3.855906836
45	3.843814469
46	3.832363274
47	3.81579057
48	3.803344657
49	3.795907414
50	3.784873598
51	3.769499982
52	3.756137591
53	3.739809809
54	3.727011209
55	3.721393557
56	3.7062702
57	3.695315255
58	3.682569774
59	3.675830641
60	3.663160298
61	3.651831405
62	3.645737685
63	3.63837084
64	3.626212661
65	3.617502406
66	3.61105798
67	3.60479445
68	3.596803181
69	3.590841399
70	3.58432653
71	3.57526984
72	3.566405266
73	3.559464101
74	3.552461578
75	3.546902216
76	3.542047418
77	3.537834269
78	3.535546453
79	3.528560066
80	3.520666709
81	3.513952799
82	3.508234623
83	3.503862305
84	3.495884613
85	3.48947114
86	3.481693533
87	3.474147215
88	3.470815795
89	3.466091782
90	3.462964836
91	3.459963549
92	3.454229546
93	3.450369558
94	3.447054012
95	3.443538216
96	3.437826997
97	3.434498301
98	3.427180765
99	3.418583856
