iter	Passed	Remaining
0	1	101
1	2	124
2	3	121
3	5	121
4	6	117
5	7	110
6	8	108
7	9	110
8	10	107
9	12	109
10	13	107
11	14	105
12	15	104
13	17	107
14	18	105
15	20	105
16	21	104
17	23	105
18	24	104
19	25	103
20	26	101
21	28	100
22	29	98
23	30	97
24	32	96
25	33	94
26	34	93
27	35	91
28	36	89
29	38	88
30	39	87
31	40	86
32	41	84
33	43	83
34	44	82
35	46	82
36	47	81
37	49	80
38	50	79
39	51	77
40	52	75
41	53	74
42	54	72
43	56	71
44	57	70
45	58	68
46	60	67
47	61	66
48	63	65
49	64	64
50	65	63
51	67	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	84	43
66	86	42
67	87	41
68	88	39
69	91	39
70	92	37
71	94	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	121	10
92	122	9
93	123	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
