iter	RMSE
0	13.8569059
1	13.47758144
2	13.09710388
3	12.75442452
4	12.36989487
5	11.99429349
6	11.68556568
7	11.41374679
8	11.10913954
9	10.80540885
10	10.51337525
11	10.24151511
12	9.974070025
13	9.724083276
14	9.486202467
15	9.247857862
16	9.039728807
17	8.835714526
18	8.615884125
19	8.43806978
20	8.246342034
21	8.060109684
22	7.893288726
23	7.72198211
24	7.554502542
25	7.39292829
26	7.220710678
27	7.093972924
28	6.961663024
29	6.828760557
30	6.69320104
31	6.566751522
32	6.44810567
33	6.349103173
34	6.23900047
35	6.144326706
36	6.039407545
37	5.939479385
38	5.848254129
39	5.760361069
40	5.681058821
41	5.596821148
42	5.529515749
43	5.452310975
44	5.386174489
45	5.323196034
46	5.258527348
47	5.196838412
48	5.138463337
49	5.08832936
50	5.032911333
51	4.978915084
52	4.929534178
53	4.879558942
54	4.831047845
55	4.785449433
56	4.746954784
57	4.708503097
58	4.674727789
59	4.637315111
60	4.607224598
61	4.574494514
62	4.546263401
63	4.517747416
64	4.495166575
65	4.468500374
66	4.446601416
67	4.424264926
68	4.399140849
69	4.374176203
70	4.353900475
71	4.330584338
72	4.309950457
73	4.289998314
74	4.273274701
75	4.254947764
76	4.238400184
77	4.219962524
78	4.203734731
79	4.188453403
80	4.177414065
81	4.165473404
82	4.153315269
83	4.1405097
84	4.127803683
85	4.116011682
86	4.101431774
87	4.0881941
88	4.07451296
89	4.062591919
90	4.051969441
91	4.042695362
92	4.03360253
93	4.02377784
94	4.011762162
95	4.001360165
96	3.99112848
97	3.981922454
98	3.969616342
99	3.961550714
100	3.952371091
101	3.946703794
102	3.937427023
103	3.929646819
104	3.924410674
105	3.915673023
106	3.909198105
107	3.902552264
108	3.895417114
109	3.889185291
110	3.882346092
111	3.880656701
112	3.873220665
113	3.864997659
114	3.857362373
115	3.849848749
116	3.843474895
117	3.835094939
118	3.828915495
119	3.824238723
120	3.818564959
121	3.81479685
122	3.808668151
123	3.802038718
124	3.795974254
125	3.791648566
126	3.786532468
127	3.783680656
128	3.77802192
