iter	Passed	Remaining
0	2	2425
1	7	3711
2	14	4855
3	19	4933
4	24	4913
5	27	4537
6	32	4674
7	34	4273
8	39	4369
9	47	4711
10	52	4690
11	59	4893
12	63	4810
13	66	4710
14	74	4861
15	76	4721
16	81	4705
17	88	4803
18	93	4811
19	97	4786
20	103	4812
21	108	4801
22	112	4774
23	117	4771
24	122	4768
25	127	4782
26	132	4788
27	138	4790
28	142	4781
29	145	4699
30	150	4702
31	155	4712
32	162	4765
33	165	4696
34	169	4674
35	177	4755
36	181	4721
37	184	4673
38	191	4709
39	196	4715
40	200	4695
41	206	4712
42	210	4689
43	214	4663
44	217	4611
45	223	4635
46	228	4627
47	238	4730
48	244	4750
49	252	4798
50	258	4807
51	263	4796
52	270	4832
53	275	4818
54	280	4821
55	288	4856
56	293	4853
57	303	4936
58	309	4935
59	317	4967
60	323	4972
61	330	4997
62	334	4978
63	339	4959
64	342	4927
65	344	4879
66	348	4855
67	353	4842
68	360	4868
69	367	4877
70	368	4825
71	377	4862
72	387	4919
73	393	4927
74	398	4919
75	406	4943
76	411	4930
77	414	4903
78	419	4886
79	422	4864
80	428	4862
81	430	4816
82	437	4836
83	442	4822
84	446	4811
85	452	4814
86	458	4810
87	465	4826
88	469	4809
89	474	4802
90	483	4828
91	487	4812
92	490	4782
93	499	4818
94	505	4816
95	513	4832
96	518	4824
97	522	4804
98	529	4817
99	533	4798
100	539	4802
101	543	4786
102	548	4777
103	555	4782
104	562	4792
105	569	4806
106	573	4789
107	579	4787
108	586	4796
109	590	4779
110	595	4767
111	596	4728
112	603	4733
113	606	4716
114	612	4714
115	615	4693
116	618	4666
117	625	4671
118	630	4664
119	634	4653
120	643	4674
121	648	4665
122	655	4671
123	662	4678
124	667	4672
125	676	4691
126	681	4685
127	686	4676
128	690	4663
129	693	4643
130	698	4635
131	701	4613
132	706	4607
133	714	4618
134	720	4617
135	726	4617
136	734	4629
137	740	4623
138	746	4625
139	749	4606
140	756	4606
141	763	4610
142	772	4629
143	780	4638
144	786	4637
145	790	4623
146	796	4621
147	802	4621
148	808	4620
149	813	4607
150	818	4602
151	821	4583
152	824	4564
153	827	4547
154	832	4538
155	839	4540
156	852	4579
157	859	4580
158	866	4581
159	871	4575
160	878	4579
161	884	4577
162	893	4587
163	899	4585
164	904	4579
165	908	4566
166	910	4541
167	915	4533
168	922	4534
169	927	4530
170	932	4522
171	941	4533
172	947	4527
173	953	4528
174	959	4521
175	968	4533
176	972	4523
177	981	4532
178	988	4531
179	995	4532
180	999	4522
181	1005	4519
182	1010	4509
183	1016	4507
184	1026	4520
185	1033	4522
186	1040	4522
187	1046	4521
188	1048	4500
189	1049	4476
190	1053	4464
191	1060	4463
192	1066	4460
193	1075	4466
194	1083	4472
195	1088	4465
196	1095	4465
197	1102	4465
198	1114	4484
199	1119	4478
200	1128	4484
201	1130	4467
202	1133	4448
203	1135	4432
204	1138	4415
205	1142	4402
206	1145	4387
207	1147	4368
208	1148	4346
209	1149	4323
210	1150	4301
211	1151	4279
212	1152	4257
213	1153	4235
214	1154	4214
215	1156	4196
216	1157	4176
217	1158	4156
218	1160	4137
219	1161	4117
220	1162	4097
221	1163	4077
222	1164	4056
223	1165	4037
224	1166	4017
225	1167	3997
226	1168	3977
227	1169	3958
228	1170	3940
229	1172	3924
230	1173	3907
231	1175	3890
232	1190	3917
233	1193	3908
234	1195	3890
235	1196	3873
236	1197	3856
237	1198	3838
238	1199	3820
239	1200	3802
240	1202	3786
241	1203	3770
242	1204	3752
243	1205	3735
244	1206	3718
245	1207	3701
246	1208	3684
247	1209	3667
248	1210	3650
249	1211	3633
250	1212	3617
251	1213	3600
252	1213	3584
253	1214	3568
254	1215	3552
255	1217	3539
256	1219	3524
257	1220	3509
258	1221	3493
259	1222	3478
260	1223	3463
261	1224	3447
262	1225	3432
263	1225	3417
264	1226	3402
265	1227	3387
266	1228	3373
267	1229	3358
268	1230	3343
269	1231	3329
270	1233	3317
271	1234	3303
272	1235	3289
273	1236	3276
274	1237	3262
275	1238	3248
276	1239	3234
277	1240	3220
278	1241	3207
279	1242	3194
280	1243	3180
281	1244	3167
282	1245	3154
283	1246	3141
284	1247	3128
285	1249	3118
286	1250	3106
287	1251	3093
288	1252	3081
289	1253	3068
290	1254	3056
291	1255	3043
292	1256	3031
293	1257	3018
294	1258	3006
295	1259	2994
296	1260	2982
297	1261	2970
298	1262	2960
299	1264	2950
300	1265	2939
301	1266	2927
302	1267	2916
303	1268	2904
304	1269	2893
305	1270	2881
306	1271	2870
307	1272	2858
308	1273	2847
309	1274	2836
310	1275	2825
311	1276	2815
312	1278	2806
313	1280	2796
314	1281	2786
315	1282	2775
316	1283	2764
317	1283	2753
318	1284	2742
319	1285	2732
320	1286	2721
321	1287	2711
322	1288	2701
323	1289	2690
324	1290	2680
325	1291	2671
326	1293	2662
327	1294	2652
328	1295	2643
329	1296	2633
330	1297	2623
331	1298	2613
332	1299	2603
333	1300	2593
334	1301	2584
335	1302	2574
336	1303	2564
337	1304	2555
338	1305	2545
339	1306	2536
340	1308	2528
341	1309	2519
342	1310	2510
343	1312	2502
344	1313	2493
345	1314	2484
346	1315	2475
347	1316	2466
348	1317	2457
349	1319	2449
350	1320	2440
351	1321	2432
352	1323	2425
353	1326	2420
354	1329	2414
355	1330	2406
356	1331	2397
357	1332	2389
358	1333	2380
359	1334	2371
360	1335	2363
361	1336	2354
362	1336	2346
363	1338	2339
364	1340	2331
365	1341	2323
366	1342	2315
367	1343	2307
368	1345	2300
369	1346	2292
370	1347	2284
371	1348	2276
372	1349	2268
373	1350	2260
374	1351	2252
375	1353	2246
376	1354	2239
377	1356	2231
378	1357	2223
379	1358	2215
380	1359	2208
381	1360	2200
382	1361	2192
383	1362	2185
384	1363	2177
385	1364	2169
386	1365	2162
387	1366	2154
388	1367	2147
389	1369	2141
390	1370	2134
391	1371	2127
392	1372	2120
393	1373	2113
394	1374	2105
395	1375	2098
396	1377	2091
397	1379	2086
398	1380	2079
399	1381	2072
400	1382	2065
401	1384	2058
402	1385	2051
403	1385	2044
404	1386	2037
405	1388	2030
406	1389	2024
407	1390	2017
408	1391	2010
409	1393	2004
410	1395	1999
411	1396	1993
412	1397	1986
413	1398	1979
414	1399	1972
415	1400	1965
416	1401	1959
417	1402	1952
418	1403	1945
419	1404	1938
420	1405	1932
421	1405	1925
422	1407	1919
423	1408	1913
424	1410	1908
425	1411	1901
426	1412	1895
427	1413	1888
428	1414	1882
429	1415	1876
430	1416	1869
431	1417	1863
432	1418	1857
433	1419	1850
434	1420	1844
435	1420	1838
436	1422	1832
437	1424	1827
438	1425	1821
439	1426	1815
440	1427	1809
441	1428	1802
442	1429	1796
443	1430	1790
444	1431	1784
445	1432	1778
446	1433	1772
447	1434	1766
448	1434	1760
449	1435	1754
450	1436	1749
451	1438	1743
452	1440	1738
453	1441	1733
454	1442	1727
455	1443	1721
456	1444	1715
457	1444	1710
458	1445	1704
459	1446	1698
460	1447	1692
461	1448	1687
462	1449	1681
463	1450	1675
464	1451	1670
465	1452	1664
466	1453	1659
467	1455	1654
468	1456	1648
469	1457	1643
470	1458	1637
471	1459	1632
472	1460	1626
473	1461	1621
474	1461	1615
475	1462	1610
476	1463	1605
477	1464	1599
478	1465	1594
479	1466	1589
480	1467	1583
481	1469	1578
482	1470	1574
483	1471	1569
484	1472	1563
485	1473	1558
486	1474	1553
487	1475	1548
488	1476	1543
489	1477	1537
490	1479	1533
491	1480	1529
492	1482	1524
493	1485	1521
494	1490	1520
495	1496	1520
496	1503	1521
497	1511	1523
498	1517	1523
499	1522	1522
500	1527	1521
501	1534	1521
502	1541	1522
503	1545	1521
504	1550	1520
505	1557	1521
506	1562	1519
507	1567	1518
508	1574	1519
509	1579	1517
510	1586	1518
511	1590	1516
512	1596	1515
513	1603	1515
514	1607	1513
515	1611	1511
516	1617	1511
517	1621	1509
518	1625	1506
519	1628	1503
520	1632	1500
521	1635	1498
522	1639	1495
523	1644	1494
524	1648	1491
525	1652	1488
526	1660	1490
527	1664	1488
528	1667	1484
529	1672	1482
530	1675	1480
531	1679	1477
532	1682	1474
533	1690	1475
534	1696	1474
535	1703	1475
536	1710	1474
537	1719	1476
538	1725	1475
539	1735	1478
540	1748	1483
541	1755	1483
542	1759	1480
543	1760	1475
544	1761	1470
545	1762	1465
546	1763	1460
547	1764	1455
548	1765	1450
549	1766	1445
550	1767	1440
551	1768	1435
552	1769	1430
553	1770	1425
554	1772	1420
555	1773	1416
556	1774	1411
557	1775	1406
558	1776	1401
559	1777	1396
560	1778	1391
561	1779	1386
562	1780	1382
563	1781	1377
564	1782	1372
565	1783	1367
566	1784	1362
567	1785	1357
568	1786	1353
569	1787	1348
570	1789	1344
571	1790	1339
572	1791	1335
573	1792	1330
574	1793	1325
575	1794	1320
576	1795	1316
577	1796	1311
578	1797	1306
579	1798	1302
580	1799	1297
581	1800	1292
582	1801	1288
583	1802	1284
584	1804	1280
585	1805	1275
586	1806	1271
587	1807	1266
588	1808	1262
589	1809	1257
590	1810	1252
591	1811	1248
592	1812	1244
593	1813	1239
594	1814	1234
595	1815	1230
596	1816	1226
597	1817	1221
598	1819	1217
599	1820	1213
600	1821	1209
601	1822	1204
602	1823	1200
603	1824	1195
604	1824	1191
605	1825	1187
606	1826	1182
607	1827	1178
608	1828	1174
609	1829	1169
610	1830	1165
611	1831	1161
612	1833	1157
613	1834	1153
614	1835	1148
615	1836	1144
616	1837	1140
617	1838	1136
618	1839	1131
619	1840	1127
620	1841	1123
621	1842	1119
622	1842	1115
623	1843	1111
624	1844	1106
625	1845	1102
626	1846	1098
627	1848	1094
628	1849	1090
629	1850	1086
630	1851	1082
631	1852	1078
632	1853	1074
633	1854	1070
634	1855	1066
635	1856	1062
636	1857	1058
637	1858	1054
638	1859	1050
639	1860	1046
640	1861	1042
641	1861	1038
642	1863	1034
643	1864	1030
644	1866	1027
645	1867	1023
646	1868	1019
647	1869	1015
648	1870	1011
649	1871	1007
650	1871	1003
651	1872	999
652	1873	995
653	1874	991
654	1875	988
655	1877	984
656	1878	980
657	1880	977
658	1881	973
659	1882	970
660	1884	966
661	1885	962
662	1886	958
663	1887	955
664	1888	951
665	1890	947
666	1891	944
667	1892	940
668	1894	937
669	1896	933
670	1897	930
671	1898	926
672	1900	923
673	1901	919
674	1902	915
675	1903	912
676	1904	908
677	1904	904
678	1905	901
679	1906	897
680	1907	893
681	1910	890
682	1911	887
683	1912	883
684	1913	879
685	1914	876
686	1915	872
687	1916	868
688	1917	865
689	1917	861
690	1918	858
691	1919	854
692	1920	850
693	1921	847
694	1922	843
695	1924	840
696	1925	837
697	1926	833
698	1927	830
699	1928	826
700	1929	822
701	1930	819
702	1931	815
703	1932	812
704	1933	808
705	1934	805
706	1935	801
707	1936	798
708	1937	795
709	1938	791
710	1939	788
711	1940	785
712	1941	781
713	1942	778
714	1943	774
715	1944	771
716	1945	767
717	1946	764
718	1947	761
719	1948	757
720	1949	754
721	1950	750
722	1951	747
723	1952	744
724	1953	740
725	1954	737
726	1955	734
727	1957	731
728	1957	727
729	1958	724
730	1959	721
731	1960	717
732	1961	714
733	1962	711
734	1963	707
735	1964	704
736	1965	701
737	1966	698
738	1967	694
739	1968	691
740	1970	688
741	1971	685
742	1972	682
743	1973	678
744	1974	675
745	1975	672
746	1975	669
747	1976	666
748	1977	662
749	1978	659
750	1979	656
751	1980	653
752	1981	650
753	1982	646
754	1984	643
755	1986	641
756	1987	637
757	1988	634
758	1989	631
759	1989	628
760	1990	625
761	1991	622
762	1992	618
763	1993	615
764	1994	612
765	1995	609
766	1996	606
767	1997	603
768	1998	600
769	2000	597
770	2001	594
771	2002	591
772	2003	588
773	2004	585
774	2005	582
775	2006	579
776	2007	576
777	2008	573
778	2009	570
779	2010	567
780	2011	564
781	2012	561
782	2013	558
783	2015	555
784	2017	552
785	2018	549
786	2019	546
787	2020	543
788	2021	540
789	2022	537
790	2024	534
791	2025	531
792	2026	528
793	2027	526
794	2028	523
795	2030	520
796	2031	517
797	2032	514
798	2033	511
799	2035	508
800	2036	505
801	2037	503
802	2038	500
803	2040	497
804	2041	494
805	2042	491
806	2043	488
807	2044	485
808	2046	483
809	2048	480
810	2049	477
811	2050	474
812	2051	471
813	2051	468
814	2052	466
815	2053	463
816	2054	460
817	2055	457
818	2056	454
819	2057	451
820	2058	448
821	2060	446
822	2061	443
823	2062	440
824	2063	437
825	2064	434
826	2065	432
827	2066	429
828	2066	426
829	2067	423
830	2069	420
831	2070	418
832	2072	415
833	2073	412
834	2074	409
835	2076	407
836	2077	404
837	2078	401
838	2079	399
839	2080	396
840	2081	393
841	2082	390
842	2084	388
843	2085	385
844	2086	382
845	2087	379
846	2088	377
847	2090	374
848	2092	372
849	2093	369
850	2094	366
851	2095	364
852	2096	361
853	2097	358
854	2099	355
855	2100	353
856	2101	350
857	2103	348
858	2104	345
859	2106	342
860	2107	340
861	2108	337
862	2109	334
863	2110	332
864	2111	329
865	2113	326
866	2114	324
867	2115	321
868	2116	319
869	2118	316
870	2131	315
871	2140	314
872	2143	311
873	2145	309
874	2146	306
875	2147	303
876	2148	301
877	2150	298
878	2151	296
879	2152	293
880	2154	290
881	2155	288
882	2156	285
883	2157	283
884	2159	280
885	2160	277
886	2161	275
887	2162	272
888	2163	270
889	2165	267
890	2167	265
891	2168	262
892	2170	260
893	2171	257
894	2172	254
895	2173	252
896	2175	249
897	2176	247
898	2177	244
899	2178	242
900	2180	239
901	2182	237
902	2183	234
903	2184	232
904	2186	229
905	2187	227
906	2189	224
907	2190	221
908	2191	219
909	2193	216
910	2194	214
911	2195	211
912	2197	209
913	2198	206
914	2200	204
915	2201	201
916	2202	199
917	2203	196
918	2205	194
919	2206	191
920	2208	189
921	2209	186
922	2210	184
923	2212	181
924	2213	179
925	2215	177
926	2216	174
927	2217	172
928	2218	169
929	2219	167
930	2220	164
931	2222	162
932	2223	159
933	2224	157
934	2225	154
935	2227	152
936	2229	149
937	2230	147
938	2231	144
939	2232	142
940	2234	140
941	2235	137
942	2236	135
943	2238	132
944	2239	130
945	2240	127
946	2242	125
947	2244	123
948	2245	120
949	2246	118
950	2247	115
951	2248	113
952	2249	110
953	2250	108
954	2251	106
955	2253	103
956	2254	101
957	2255	98
958	2257	96
959	2258	94
960	2259	91
961	2260	89
962	2262	86
963	2263	84
964	2264	82
965	2265	79
966	2266	77
967	2267	74
968	2268	72
969	2269	70
970	2270	67
971	2272	65
972	2273	63
973	2274	60
974	2275	58
975	2276	55
976	2277	53
977	2278	51
978	2279	48
979	2279	46
